Company/Brand,Sector,Stage,Amount($),Location,What it does,Amount($),Year of Funding
Zyla Health,Health Care,Seed,,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,1000000.0,2018
Hubhopper,Internet,Series A,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,500000.0,2018
Rubix108 Technologies,Information Technology,Seed,1000000,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,1000000.0,2018
Workflexi,Human Resources,Seed,1460000.0,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",1000000.0,2018
Streak,Financial Services,Seed,3285000.0,Bangalore,Algorithmic trading platform.,1000000.0,2018
Kuants,Financial Services,Seed,730000.0,Gurgaon,Algorithmic trading platform.,1000000.0,2018
NiYO Solutions,Finance,Series A,13200000,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,13200000.0,2018
Hippo Video,Customer Service,Seed,,Chennai,A video recording and sharing software.,1000000.0,2018
Satvacart,E-Commerce,Seed,,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,1000000.0,2018
Daaki,Health Care,Angel,,Bangalore,Sports Nutrition startup,1000000.0,2018
Simulanis,Training,Seed,500000,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,500000.0,2018
MY CHIRAAG CAB,Travel,Seed,1000000,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,1000000.0,2018
WOTU,Food and Beverage,Seed,,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.,1000000.0,2018
Flathalt,,Angel,50000,Gurgaon,FInd your Customized Home here.,50000.0,2018
True Elements,Dietary Supplements,Seed,7300000.0,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,1000000.0,2018
Trendlyne Technologies,Financial Services,Seed,200000,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,200000.0,2018
Planys Technologies,Manufacturing,Series A,20469200.0,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,1000000.0,2018
HealthPlix,Fitness,Series A,3000000,Bangalore,HealthPlix is a healthtech startup,3000000.0,2018
dishq,,Seed,400000,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,400000.0,2018
Entropik Technology,Artificial Intelligence,Seed,1100000,Bengaluru,The boundaries between Human and Machines are shrinking fast.,1100000.0,2018
myHQ,Collaboration,Series A,500000,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,500000.0,2018
Trell,,Seed,1250000,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,1250000.0,2018
Kidovators (by GyanLab),Big Data,Seed,180000,Bangalore,Building future human capital through 21st Century Skills programs for K-12,180000.0,2018
Log 9 Materials,Nanotechnology,Seed,4380000.0,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup,1000000.0,2018
VTION,Analytics,Seed,2803200.0,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,1000000.0,2018
HousingMan.com,,Seed,15037999.999999998,Bengaluru,"New Apartments, Flats for Sale in Bangalore",1000000.0,2018
Steradian Semiconductors,,Seed,,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,1000000.0,2018
RupeeCircle,Financial Services,Seed,5840000.0,Mumbai,RupeeCircle is a new age finance company.,1000000.0,2018
Wooden Street,E-Commerce,Series A,1000000,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,1000000.0,2018
The Ken,Digital Media,Series A,1500000,Bengaluru,The Ken is India’s first subscriptions-only business news site,1500000.0,2018
SaffronStays,,Seed,2000000,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,2000000.0,2018
Vebbler,File Sharing,Seed,,Bengaluru,A personal network for close people,1000000.0,2018
Foyr,Home Decor,Series A,4200000,Pune,"Foyr.com is India's first online, automated interior designer",4200000.0,2018
MEngage,Health Care,Seed,175000,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,175000.0,2018
Inner Being Wellness,,Angel,5110000.0,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",1000000.0,2018
Kobster,E-Commerce,Seed,,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,1000000.0,2018
Wishberry,Crowdfunding,Series A,14600000.0,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,1000000.0,2018
McXtra,Finance,Seed,1300000,Andheri,McXtra is a digital insurance broking startup.,1300000.0,2018
Magic Crate,Children,Seed,,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",1000000.0,2018
SmartVizX,Software,Seed,1450000,Noida,It is a Virtual Reality Solutions StartUp,1450000.0,2018
MySEODoc,,Seed,,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",1000000.0,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,,Seed,29199.999999999996,Pune,Digital Marketing Agency,1000000.0,2018
Scale Labs,,Seed,1000000,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,1000000.0,2018
HungerBox,B2B,Series A,4500000,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,4500000.0,2018
Biryani By Kilo,Catering,Seed,1000000,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,1000000.0,2018
Wholesome Habits (EAT Anytime),Food and Beverage,Seed,500000,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,500000.0,2018
GoBumpr,Automotive,Seed,600000,Mylapore,Car Service and Bike Service Mobile App,600000.0,2018
Fixpocket,Computer,Seed,250000,Ahmedabad,Fixpocket is a internet-based startup.,250000.0,2018
edureka!,Android,Series A,2000000,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2000000.0,2018
Hashtag Loyalty Private Limited,Analytics,Seed,,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,1000000.0,2018
Wow Express,Delivery,Series A,4500000,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",4500000.0,2018
ZunRoof,Environmental Consulting,Angel,2423600.0,Gurgaon,ZunRoof is a rooftop focused solar startup.,1000000.0,2018
Eggoz,Food and Beverage,Angel,1752000.0,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,1000000.0,2018
Sqrrl Fintech,Big Data,Seed,1000000,Gurgaon,Personal Finance,1000000.0,2018
GalaxyCard,Finance,Seed,,Noida,GalaxyCard is a mobile based Instant credit card.,1000000.0,2018
IndiQube,Commercial Real Estate,Series A,15000000,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,15000000.0,2018
EGK Foods,Food and Beverage,Seed,2920000.0,Mumbai,A food processing enterprise registered with StartUp India .,1000000.0,2018
NirogStreet,Apps,Seed,300000,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,300000.0,2018
Pixr8,Digital Media,Seed,50000,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,50000.0,2018
Nivesh.com,Finance,Seed,4380000.0,Noida,Nivesh.com is a mass market mutual funds investment platform.,1000000.0,2018
Theranosis Life Sciences,Biotechnology,Seed,,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,1000000.0,2018
Poshmiles Online Solutions Private Limited,Travel,Seed,,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,1000000.0,2018
Reculta,Education,Seed,,Noida,A campus recruitment solution provider.,1000000.0,2018
Orbo.ai,Internet,Seed,,Mumbai,Orbo is a computer vision and deep facial technology company.,1000000.0,2018
Inntot Technologies,Consumer Electronics,Seed,,Kochi,"Inntot Technologies, is a technology driven company.",1000000.0,2018
Zoctr Health,Apps,Seed,,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,1000000.0,2018
Hey Deedee,Delivery Service,Seed,4818000.0,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,1000000.0,2018
DigiConnectt Technologys,Information Services,Seed,125000,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,125000.0,2018
Locus.sh,Big Data,Series A,4000000,Bangalore,Locus is an intelligent logistics automation platform.,4000000.0,2018
Sports Flashes Pvt. Ltd,Basketball,Seed,1000000,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",1000000.0,2018
Inc42,Media and Entertainment,Seed,,New Delhi,Inc42 is one of the leading tech media publications of India.,1000000.0,2018
Picxy,Internet,Seed,130000,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",130000.0,2018
Huddle,Consulting,Seed,300000,Haryana,A coworking incubator Company.,300000.0,2018
Benepik,Human Resources,Seed,,Gurgaon,HR Technology start-up.,1000000.0,2018
Cash Suvidha,Finance,Seed,1000000,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,1000000.0,2018
Smartcoin,Big Data,Seed,2000000,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment,2000000.0,2018
Carmel Organics,Agriculture,Series A,,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",1000000.0,2018
Roadcast,,Angel,250000,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,250000.0,2018
Printline Media(ThePrint),Digital Media,Seed,5095400.0,New Delhi,A digital news platform.,1000000.0,2018
Creditas Solutions,Financial Services,Seed,,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,1000000.0,2018
UrbanPiper,Software,Seed,,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,1000000.0,2018
Doxper,Health Care,Seed,10512000.0,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,1000000.0,2018
i2ifunding,Crowdfunding,Angel,7300000.0,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,1000000.0,2018
ShakeDeal,B2B,Seed,,Bangalore,Home of B2B Commerce,1000000.0,2018
HelloVerify,Fraud Detection,Seed,,Noida,HelloVerify is an online background check platform.,1000000.0,2018
Fasal,Agriculture,Seed,120000,Bengaluru,Climate Smart Precision Agriculture Platform,120000.0,2018
CoinGeto,Cryptocurrency,Seed,17520000.0,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,1000000.0,2018
Avail Finance,Finance,Series A,17200000,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,17200000.0,2018
Tripeur,Information Technology,Seed,600000,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,600000.0,2018
Wedeterna,Wedding,Angel,,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",1000000.0,2018
Stumagz,Digital Media,Seed,,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,1000000.0,2018
Doubtnut,E-Learning,Seed,5110000.0,Gurgaon,Gurgaon based E-learning platform.,1000000.0,2018
MCaffeine,Consumer Goods,Seed,4672000.0,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,1000000.0,2018
TrustCheckr,Information Technology,Angel,100000,Bengaluru,A Bengaluru-based fraud analytics solution provider .,100000.0,2018
HealthAssure,Fitness,Seed,1000000,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,1000000.0,2018
Picture TIme,Digital Entertainment,Seed,36500000.0,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.,1000000.0,2018
1Crowd,Crowdsourcing,Angel,3500000,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,3500000.0,2018
Aarav Unmanned Systems,Delivery,Seed,,Bangalore,Professional Drones for Enterprise Applications,1000000.0,2018
Wellthy Therapeutics Pvt Ltd,Health Care,Seed,19710000.0,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",1000000.0,2018
Nua,Consumer Goods,Seed,,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,1000000.0,2018
Kuvera.in,Financial Services,Angel,250000,Bangalore,An online platform for mutual fund investments.,250000.0,2018
Livehealth,Health Care,Seed,1100000,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,1100000.0,2018
Gramophone,Farming,Seed,1000000,Indore,An agricultural inputs startup Company.,1000000.0,2018
Ora,Business Travel,Seed,,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,1000000.0,2018
Buddy4Study.com,Career Planning,Series A,3000000,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,3000000.0,2018
Predible Health,Medical Device,Seed,,Bangalore,Healthcare devices for cancer detection,1000000.0,2018
Syncremedies Healthcare Pvt Ltd,Alternative Medicine,Seed,,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",1000000.0,2018
Blueleaf Cyberspace Systems,Internet,Seed,,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company.,1000000.0,2018
Toffee,,Seed,1500000,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",1500000.0,2018
ORO Wealth,,Series A,1600000,Mumbai,Online wealth management platform,1600000.0,2018
HealWell24,Dental,Seed,200000,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",200000.0,2018
Acko General Insurance,Financial Services,Series A,12000000,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,12000000.0,2018
arzooo.com,Consumer Electronics,Seed,2190000.0,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,1000000.0,2018
Bonphul Air Products,CleanTech,Angel,2920000.0,Delhi,A clean tech product Company,1000000.0,2018
DheeYantra Research Labs,Artificial Intelligence,Seed,,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",1000000.0,2018
Edyoo,Education,Seed,1000000,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",1000000.0,2018
Chtrbox,Advertising,Angel,1460000.0,Mumbai,Chtrbox connects social media influencers with brands .,1000000.0,2018
Aashiyaan Housing and Development Finance,Financial Services,Seed,19710000.0,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,1000000.0,2018
BetterPlace Safety Solutions Pvt. Ltd.,Human Resources,Series A,3000000,Bangalore City,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",3000000.0,2018
Cashkumar,Consumer Lending,Seed,7300000.0,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,1000000.0,2018
Rocketium,Marketing,Seed,2920000.0,Bangalore,Easy video creation for social media.,1000000.0,2018
FreightBazaar,Transportation,Seed,,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,1000000.0,2018
OPEN,Banking,Seed,,Bangalore,Open up to a new world of Banking,1000000.0,2018
mfine,Health Care,Series A,4200000,Bengaluru,Hospital & Health Care Start up,4200000.0,2018
Earth Food,Food and Beverage,Seed,9344000.0,Pune,Earth Food is a healthy Food Start Up.,1000000.0,2018
Charcoal Eats,Food Processing,Seed,7300000.0,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.,1000000.0,2018
Wishfie,Apps,Seed,,Bangalore,A platform for people to express their opinions in form of short videos around any topic.,1000000.0,2018
The Social Hook,Marketing,Seed,,Bengaluru,Fast growing Influencer Marketing platform in India.,1000000.0,2018
FreightBro,Apps,Seed,,Mumbai,Software for the new-age freight,1000000.0,2018
Finwego,,Seed,,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,1000000.0,2018
Cricnwin,Digital Entertainment,Seed,,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform,1000000.0,2018
Wicked Ride Adventure Services Private Limited,Automotive,Venture - Series Unknown,10000000,Bangalore,Peer-to-Peer motor vehicles sharing,10000000.0,2018
Career Anna,Commercial,Seed,5840000.0,Bangalore,India's Go to Career Commerce Portal,1000000.0,2018
ERUDITUS Executive Education,Continuing Education,Series C,40000000,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",40000000.0,2018
Gaia Smart Cities,Smart Cities,Seed,,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,1000000.0,2018
Square Off,Internet of Things,Seed,1100000,Mumbai,Delivering Imagination,1100000.0,2018
UrbanClap,Apps,Series D,50000000,Delhi,UrbanClap is India's leading managed marketplace for home services.,50000000.0,2018
Hospals,Medical,Seed,1500000,New Delhi,Hospals is a medical tourism company.,1500000.0,2018
Kogta Financial India Limited,Financial Services,Series B,224840000.0,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,1000000.0,2018
Perspectico,Career Planning,Seed,,New Delhi,An Education Management startup.,1000000.0,2018
The Souled Store,Fashion,Venture - Series Unknown,3000000,Mumbai,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",3000000.0,2018
Hush - Speak Up. Make Work Better,Communities,Seed,6570000.0,Bangalore,Enabling diversity of opinions in organizations,1000000.0,2018
Drivezy,Automotive,Debt Financing,100000000,Bengaluru,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,100000000.0,2018
Freyr Energy,Energy,Series A,1500000,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",1500000.0,2018
NIRAMAI Health Analytix,Health Care,Seed,6000000,Bangalore,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,6000000.0,2018
CloudSek,Information Technology,Seed,20440000.0,Bengaluru,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,1000000.0,2018
Lendbox,Crowdfunding,Seed,8760000.0,Delhi,Lendbox is India's leading peer-to-peer lending online lending platform.,1000000.0,2018
Verloop,Customer Service,Series A,3000000,Bangalore,Verloop is an automated customer support and engagement platform.,3000000.0,2018
Flickstree,Advertising,Seed,,Mumbai,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",1000000.0,2018
Paymatrix,Credit Cards,Seed,100000,Hyderabad,India's Leading Property Rent management platform,100000.0,2018
Idha Skin Clinic,Beauty,Seed,730000.0,Bangalore City,Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,1000000.0,2018
InCred,Banking,Private Equity,41900000,Mumbai,InCred Finance is a mumbai-based non-banking financial company,41900000.0,2018
Vedantu,EdTech,Series B,11000000,Bangalore,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,11000000.0,2018
Sportido,Social Media,Seed,,Noida,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,1000000.0,2018
Stelis Biopharma,Biopharma,Series B,100000000,Bangalore,Stelis Biopharma is a vertically integrated biopharmaceutical company,100000000.0,2018
Magicpin,E-Commerce,Series C,205860000.0,Gurgaon,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",1000000.0,2018
Try & Buy,E-Commerce,Seed,,New Delhi,Try & Buy,1000000.0,2018
Mech Mocha,Digital Entertainment,Series B,3530000,Bangalore,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,3530000.0,2018
Aye Finance,Finance,Debt Financing,10512000.0,Gurgaon,Aye Finance provides financial services to micro and small businesses in Northern India.,1000000.0,2018
Aldopay,Mobile Payments,Seed,200000,Chennai,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,200000.0,2018
Detect Technologies,Artificial Intelligence,Series A,3300000,Chennai,Completely automated remote control system.,3300000.0,2018
Signzy,Computer,Series A,35040000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,1000000.0,2018
CashRich,Apps,Seed,1000000,Mumbai,A Mumbai-based fin-tech startup,1000000.0,2018
Cloudnine Hospitals,Child Care,Private Equity,,Bangalore,Cloudnine is an Indian chain of women and child care hospitals.,1000000.0,2018
CropIn Technologies,Agriculture,Series B,84680000.0,Bengaluru,"To discover, develop and deliver innovative solution in Agtech Space",1000000.0,2018
Billdesk,Finance,Venture - Series Unknown,,Ahmedabad,"BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",1000000.0,2018
Yaantra,Information Services,Debt Financing,2000000,Delhi,"Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",2000000.0,2018
TECHBOOZE,Education,Seed,100000,New Delhi,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",100000.0,2018
HealthifyMe,Apps,Series B,6000000,Bangalore,HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,6000000.0,2018
hoi foods,Food and Beverage,Seed,5256000.0,Gurgaon,India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,1000000.0,2018
Perpule,Apps,Series A,49640000.0,Bangalore,Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,1000000.0,2018
Royal Sundaram General Insurance Co. Limited,Health Insurance,Corporate Round,210000000,Kalpakkam,"Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",210000000.0,2018
CleanseCar,Automotive,Angel,5110000.0,Bangalore,CleanseCar is a company provides Washing and Repair Services.,1000000.0,2018
DRIVEU,Rental,Venture - Series Unknown,10220000.0,Bengaluru,DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,1000000.0,2018
Spinny,E-Commerce,Series A,11000000,Gurgaon,Used cars marketplace in India. Ushering new era of transparency and convenience.,11000000.0,2018
Asset Reconstruction Company (India) Ltd.,Financial Services,Secondary Market,,Mumbai,Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,1000000.0,2018
Med365 Healthcare,Health Diagnostics,Seed,7300000.0,Jaipur,"Wellness, Specialised Testing, Healthcare at Home",1000000.0,2018
Dunzo,Customer Service,Debt Financing,10220000.0,Bangalore,Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,1000000.0,2018
Mobile Premier League (MPL),Gaming,Series A,5000000,Bengaluru,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,5000000.0,2018
WalMart India,Retail,Venture - Series Unknown,37680000,Gurgaon,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",37680000.0,2018
Cred,,Seed,,Bengaluru,Cred is a platform to celebrate and reward the most creditworthy people of India.,1000000.0,2018
Meesho,E-Commerce,Series C,50000000,Bangalore,"Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",50000000.0,2018
BhaskarGuru,Search Engine,Seed,1000000,Bhopal,Bhaskarguru.com is your local search Engine,1000000.0,2018
Gugu,Battery,Seed,250000,Coimbatore,Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,250000.0,2018
FarmTaaza,Agriculture,Series A,,Bengaluru,Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,1000000.0,2018
Vizzbee,Artificial Intelligence,Pre-Seed,20000,Bhopal,Autonomous Drone Solutions for last mile delivery as well as search and rescue,20000.0,2018
BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,900000,Bangalore,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,900000.0,2018
Mobycy,Fitness,Angel,,Gurgaon,India's 1st Dockless Bicycle Sharing App,1000000.0,2018
Traveo Soft Pvt. Ltd.,Mobile,Undisclosed,175200.0,Bangalore,AI based Business Travel & Expense management,1000000.0,2018
Em Personal Care,Cosmetics,Seed,,Worli,Em Personal Care is a Cosmetic products manufacturing Company.,1000000.0,2018
Lucideus,Consulting,Venture - Series Unknown,5000000,New Delhi,"Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",5000000.0,2018
Eupheus Learning,E-Learning,Seed,,Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,1000000.0,2018
GamingMonk,eSports,Series A,5840000.0,New Delhi,"GamingMonk is an eSports gaming company based out of New Delhi, India.",1000000.0,2018
Sukkhi Jewellery,Fashion,Venture - Series Unknown,74460000.0,Mumbai,Sukkhi Jewellery is a Contemporary fashion jewellery brand.,1000000.0,2018
INDwealth,Financial Services,Seed,321200000.0,Gurgaon,INDwealth is an Artificial Intelligence (AI) powered wealth management company,1000000.0,2018
Medikabazaar,B2B,Series A,5000000,Mumbai,India's largest medical and surgical supplies marketplace,5000000.0,2018
NIRA,Credit,Seed,1000000,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",1000000.0,2018
Duroflex Pvt. Ltd.,Consumer Goods,Private Equity,22000000,Alleppey,Duroflex Pvt. Ltd. operates as a dominant mattress player.,22000000.0,2018
Clensta,Biotechnology,Seed,,New Delhi,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,1000000.0,2018
Jetbrain Robotics,Health Care,Seed,70000,Gurgaon,"Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",70000.0,2018
Medimetry,Health Care,Seed,,Haryana,"MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",1000000.0,2018
Healthkart,E-Commerce,Venture - Series Unknown,10000000,Gurgaon,"The one stop shop for health, fitness & beauty.",10000000.0,2018
Indiabulls Ventures,Financial Services,Post-IPO Equity,2247232000.0,Mumbai,Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,1000000.0,2018
Vistara,Aerospace,Private Equity,2920000000.0,Haryana,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),1000000.0,2018
ClearTax,Accounting,Series B,584000000.0,New Delhi,ClearTax India helps individuals prepare and e-file their Income Tax Return online.,1000000.0,2018
Shuttl,Apps,Debt Financing,1000000,Gurgaon,"Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",1000000.0,2018
GuruQ,Reading Apps,Seed,3650000.0,New Delhi,A one of its kind digital integrated platform connecting tutors and students.,1000000.0,2018
Azure Power,Energy,Post-IPO Equity,185000000,New Delhi,"Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",185000000.0,2018
Cube,Banking,Series A,20440000.0,Mumbai,Cube is consumer banking focused fintech company.,1000000.0,2018
RAHI Care,Health Care,Venture - Series Unknown,,Chandigarh,RAHI Care is a Health Care company.,1000000.0,2018
Mynvax,Biotechnology,Angel,,Bangalore,Mynvax is a biotech Company.,1000000.0,2018
Loans4SME,Financial Services,Seed,,Mumbai,Loans4SME is an alternative lending platform.,1000000.0,2018
UpCyclersLab,Apps,Seed,,Mumbai,UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,1000000.0,2018
Cellerite Systems,Electric Vehicle,Seed,,Hyderabad,Cellerite Systems is a charging solutions provider for electric vehicles.,1000000.0,2018
Taru Naturals,Agriculture,Seed,,Mumbai,Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,1000000.0,2018
